result,play,increment_code,rating_adv,ECO,opening_ply,first_move,second_move,third_move,fourth_move,fifth_move,sixth_move,seventh_move,eighth_move,ninth_move,tenth_move
Normal,Classical,300+5,38,D10,Slav Defense #2,d4,d5,c4,c6,Nc3,Nf6,e3,dxc4,Bxc4,b5
Normal,Classical,600+0,38,D10,Slav Defense #2,d4,c6,c4,d5,Nc3,Nf6,Bf4,Bf5,e3,e6
Normal,Blitz,180+0,38,A40,Mikenas Defense,d4,Nc6,c4,e5,dxe5,Nxe5,e3,a5,Nf3,Nxf3+
Normal,Blitz,180+0,38,D08,Queen's Gambit Refused: Albin Countergambit,d4,d5,c4,e5,Nf3,e4,Ne5,f6,Nf7,Kxf7
Normal,Blitz,300+0,38,E32,"Nimzo-Indian Defense: Classical Variation,Keres Defense",d4,Nf6,c4,e6,Nc3,Bb4,Qc2,O-O,a3,Bxc3+
Normal,Blitz,300+0,38,D32,Tarrasch Defense: Two Knights Variation,d4,d5,c4,e6,Nc3,c5,cxd5,exd5,Nf3,Nc6
Normal,Blitz,180+0,38,D45,Semi-Slav Defense: Main Line,Nf3,Nf6,c4,e6,Nc3,d5,d4,c6,e3,Bb4
Normal,Blitz,180+0,38,E24,"Nimzo-Indian Defense: Saemisch Variation,Accelerated",d4,Nf6,c4,e6,Nc3,Bb4,a3,Bxc3,bxc3,Ne4
Normal,Blitz,180+0,38,D35,"Queen's Gambit Declined: Exchange Variation,Positional Variation #2",d4,Nf6,c4,e6,Nc3,d5,cxd5,exd5,Bg5,Be7
Normal,Classical,600+0,38,D55,"Queen's Gambit Declined: Neo-Orthodox Variation,Main Line",d4,d5,c4,e6,Nc3,Nf6,Bg5,Be7,Nf3,O-O
Normal,Blitz,300+0,38,E80,King's Indian Defense: Saemisch Variation,d4,Nf6,c4,g6,f3,Bg7,e4,d6,Nc3,Nbd7
Normal,Blitz,180+0,38,D70,Gruenfeld Defense: Lutikov Variation,d4,Nf6,c4,g6,Nc3,d5,f3,Bg7,cxd5,Nxd5
Normal,Classical,300+5,38,A00,Van't Kruijs Opening,e3,e5,d3,d5,a3,Nc6,b4,Nf6,Bb2,a6
Normal,Blitz,300+0,38,A43,Franco-Benoni Defense,e4,e6,d4,c5,d5,d6,c4,e5,Nc3,Ne7
Normal,Blitz,300+0,38,B21,"Sicilian Defense: Smith-Morra Gambit Accepted,Scheveningen Formation",e4,c5,d4,cxd4,c3,dxc3,Nxc3,d6,Bc4,e6
Normal,Blitz,300+0,38,A40,"Englund Gambit Declined,Reversed French",e3,e5,d4,d5,dxe5,Nc6,f4,f6,exf6,Nxf6
Normal,Blitz,180+2,38,C18,"French Defense: Winawer Variation,Classical Variation",e4,e6,d4,d5,Nc3,Bb4,e5,c5,a3,Bxc3+
Normal,Blitz,180+5,38,C11,"French Defense: Steinitz Variation,Boleslavsky Variation",e4,e6,d4,d5,Nc3,Nf6,e5,Nfd7,f4,c5
Normal,Blitz,180+2,38,B12,Caro-Kann Defense: Maroczy Variation,e4,c6,d4,d5,f3,e6,Bd3,c5,exd5,exd5
Normal,Blitz,180+0,38,B12,"Caro-Kann Defense: Advance Variation,Tal Variation",e4,c6,d4,d5,e5,Bf5,h4,h5,c4,e6
Normal,Classical,300+5,38,B19,"Caro-Kann Defense: Classical Variation,Lobron System",e4,c6,d4,d5,Nc3,dxe4,Nxe4,Bf5,Ng3,Bg6
Normal,Classical,300+5,38,C05,"French Defense: Tarrasch Variation,Pawn Center Variation",e4,e6,d4,d5,Nd2,Nf6,e5,Nfd7,f4,c5
Normal,Classical,600+0,38,C02,French Defense: Advance Variation #2,e4,e6,d4,d5,e5,c5,c3,cxd4,cxd4,Bb4+
Normal,Blitz,180+0,38,A00,Saragossa Opening,c3,e5,d4,exd4,cxd4,Nf6,Nc3,d5,f3,Bb4
Normal,Blitz,300+0,38,C21,"Danish Gambit Accepted,Copenhagen Defense",e4,e5,d4,exd4,c3,dxc3,Bc4,cxb2,Bxb2,Bb4+
Normal,Classical,900+0,38,C44,"Scotch Game: Scotch Gambit,Dubois Reti Defense",e4,e5,d4,exd4,Nf3,Nc6,Bc4,Nf6,Bg5,d6
Normal,Blitz,180+0,38,A45,Indian Game,d4,Nf6,e3,g6,b3,Bg7,Bb2,O-O,Nf3,c5
Normal,Blitz,180+0,38,C26,Vienna Game: Falkbeer Variation,Nc3,Nf6,e4,e5,d4,exd4,Qxd4,Nc6,Qd3,Bc5
Normal,Blitz,180+0,38,B08,"Pirc Defense: Classical Variation,Schlechter Variation",d4,d6,e4,Nf6,Nc3,g6,Nf3,Bg7,h3,O-O
Normal,Classical,420+10,38,A03,Bird Opening: Williams Gambit,e4,d5,f4,dxe4,Bc4,e6,f5,exf5,Ne2,Be6
Normal,Blitz,180+0,38,A11,English Opening: Caro-Kann Defensive System,c4,c6,g3,d5,cxd5,cxd5,Nf3,Nc6,Bg2,e5
Normal,Blitz,180+0,38,A20,English Opening: King's English Variation,c4,e5,g3,d6,Bg2,Nc6,Nc3,Nf6,Nf3,Be7
Normal,Blitz,180+0,38,D78,"Neo-Gruenfeld Defense: Classical Variation,Modern Defense",Nf3,Nf6,g3,g6,Bg2,Bg7,O-O,d5,d4,O-O
Normal,Blitz,180+0,38,B23,Sicilian Defense: Closed,e4,c5,Nc3,e6,Bc4,Nc6,f4,d6,d3,Nf6
Normal,Blitz,180+0,38,A18,English Opening: Mikenas-Carls Variation,c4,Nf6,Nc3,e6,e4,d5,e5,d4,exf6,dxc3
Normal,Blitz,180+0,38,C28,Bishop's Opening: Vienna Hybrid,e4,e5,Nc3,Nc6,Bc4,Nf6,d3,Nd4,Bg5,Be7
